id,topic_en,topic_ko,keywords
onsen_etiquette_basics,"The Ultimate Guide to Japanese Onsen Etiquette: Do's and Don'ts","일본 온천 에티켓 완벽 가이드: 입욕 방법부터 매너까지","bathing rules, yukata, towel usage, washing first, tattoo rules"
private_bath_kashikiri,"How to Find and Enjoy Private Family Baths (Kashikiri-buro) in Japan","일본 료칸 프라이빗 가족탕(전용 대절탕) 이용 및 예약 꿀팁","family bath, couple onsen, kashikiri, private outdoor bath, booking tips"
tattoo_friendly_master_list,"Tattoo-Friendly Onsens in Japan: A Comprehensive Guide for International Travelers","문신 있어도 입욕 가능! 일본 타투 허용 온천 및 료칸 리스트","tattoo policy, inclusive bathing, covering stickers, private onsen, foreigner friendly"
hakone_day_trip_guide,"Hakone Onsen Day Trip: Best Public Baths and Ryokans Near Tokyo","도쿄 근교 하코네 온천 당일치기 가이드: 베스트 대중탕과 료칸","Hakone Yumoto, day trip onsen, Hakone Free Pass, Hakone Yuryo, Tenseien"
beppu_eight_hells_tour,"Exploring Beppu: The Eight Hells Tour and Unique Sand Baths","벳푸 온천 정복: 지옥 순례 투어와 이색 모래 찜질 경험하기","Beppu Hells, sand bath, Kannawa onsen, steam food, Kyushu travel"
ryokan_kaiseki_experience,"A Gourmet Journey: Understanding Kaiseki Ryori at Traditional Ryokans","료칸 여행의 꽃, 가이세키 요리 완벽 가이드: 메뉴 구성과 미식 포인트","traditional dinner, seasonal ingredients, multicourse, omotenashi, ryokan breakfast"
winter_yukimi_rotemburo,"The Magic of Snow-Viewing Onsens (Yukimi-rotemburo) in Northern Japan","겨울 온천의 로망: 일본 북부 설경 노천탕(유키미) 추천 명소","winter onsen, snow view, Hokkaido, Tohoku, open-air bath"
kurokawa_village_walk,"Kurokawa Onsen: A Hidden Village of Traditional Baths and Forest Serenity","쿠로카와 온천: 숲속의 고즈넉한 온천 마을과 노천탕 순례 가이드","Kyushu hidden gem, forest bath, onsen hopping, traditional village"
yufuin_scenic_walk,"Yufuin Travel Guide: Art, Lake Kinrin, and Boutique Onsens","동화 같은 온천 마을 유후인: 긴린코 호수부터 예술적인 료칸까지","Yufuin walk, Kinrin lake, boutique ryokan, Mt. Yufu, Oita travel"
arima_onsen_golden_water,"Arima Onsen: Discovering the Healing Golden and Silver Waters Near Osaka","오사카 근교 아리마 온천: 신비로운 금탕과 은탕의 치유 효능","Arima Golden Water, Silver Water, Kobe travel, oldest onsen, Kansai hot spring"
kinosaki_seven_bath_crawl,"Kinosaki Onsen: The Ultimate Seven Public Bath Crawl Guide","기노사키 온천: 유카타 입고 떠나는 7대 외탕 순례 완벽 정복","seven public baths, yukata walk, Kinosaki onsen, Hyogo travel, bath pass"
noboribetsu_hell_valley,"Noboribetsu Onsen: Exploring Jigokudani (Hell Valley) in Hokkaido","홋카이도 노보리베츠 온천: 지옥 계곡의 웅장함과 유황 온천 체험","Noboribetsu, Hell Valley, Hokkaido onsen, sulfur spring, bear park"
ginzan_onsen_nostalgia,"Ginzan Onsen: A Step Back in Time to the Taisho Era","야마가타 긴잔 온천: 센과 치히로의 배경 같은 다이쇼 로망 여행","Ginzan onsen, nostalgic Japan, Taisho era, winter illumination, Yamagata travel"
kusatsu_yubatake_center,"Kusatsu Onsen: The Iconic Yubatake and Traditional Yumomi Performance","일본 3대 명천 쿠사츠 온천: 유바타케와 전통 유모미 공연 관람 팁","Kusatsu Yubatake, Yumomi, top 3 onsen, Gunma travel, acidic spring"
gero_onsen_beauty_water,"Gero Onsen: Japan's Top Three Onsens for Smooth, Beautiful Skin","기후 게로 온천: 일본 3대 온천이 선사하는 매끄러운 미인 온천수","Gero onsen, skin beauty, Hida beef, Gifu travel, top 3 hot spring"
dogo_onsen_studio_ghibli,"Dogo Onsen: Visiting the Oldest Hot Spring in Japan and Ghibli Inspiration","에히메 도고 온천: 3천 년 역사의 일본 최고(最古) 온천과 지브리 감성","Dogo Onsen, oldest onsen, Spirited Away, Matsuyama travel, Ehime onsen"
shirahama_ocean_view,"Shirahama Onsen: Coastal Relaxation and White Sand Beaches","와카야마 시라하마 온천: 푸른 바다와 흰 모래사장이 어우러진 해변 온천","ocean view onsen, Shirahama beach, Adventure World, Wakayama travel, beach resort"
ibusuki_sand_steam,"Ibusuki Sand Baths: The Unique Volcanic Sand Steam Experience","가고시마 이부스키 온천: 세계 유일의 천연 검은 모래 찜질 가이드","sand steam bath, volcanic sand, Ibusuki onsen, Kagoshima travel, subtropical Japan"
nyuto_onsen_seclusion,"Nyuto Onsen Village: Milky White Waters in the Deep Mountains of Akita","아키타 뉴토 온천향: 깊은 산속 신비로운 우윳빛 온천으로의 초대","Nyuto onsen, milky water, Tsurunoyu, hidden onsen, Akita travel"
jozankei_sapporo_access,"Jozankei Onsen: The Best Hot Spring Escape from Sapporo City","삿포로 근교 조잔케이 온천: 숲과 계곡이 어우러진 힐링 여행","Jozankei, Sapporo day trip, autumn leaves, Hokkaido hot spring, Kappabuchi"
luxury_ryokan_stay_tips,"Maximizing Your Luxury Ryokan Experience: A Guide to Omotenashi","최고급 료칸 100% 즐기기: 일본식 환대 '오모테나시' 체험 가이드","luxury ryokan, omotenashi, high-end travel, private service, ryokan tips"
budget_onsen_hacks,"Traveling Japan's Onsens on a Budget: Public Baths and Affordable Ryokans","가성비 온천 여행: 저렴한 대중탕과 합리적인 가격의 료칸 찾는 법","cheap onsen, public bath, budget ryokan, money saving tips, sento vs onsen"
solo_travel_onsen,"Solo Traveler's Guide to Japanese Onsens: Best Ryokans for One","나홀로 온천 여행: 혼자 가도 부담 없는 최고의 료칸과 이용 팁","solo travel, single room ryokan, peaceful onsen, meditation, solo trip"
family_friendly_onsens,"Best Onsen Resorts for Families with Young Children","아이와 함께하는 온천 여행: 가족 친화적인 리조트와 료칸 추천","family onsen, kids friendly, kids meal, private bath, play area"
couple_romantic_ryokan,"Romantic Getaways: Best Onsens with Private Baths for Couples","커플을 위한 로맨틱 온천 여행: 프라이빗한 시간을 약속하는 료칸","honeymoon ryokan, romantic getaway, anniversary trip, couple bath, scenic view"
onsen_water_types,"Sulfur, Salt, or Acidic? A Guide to the Different Types of Onsen Water","유황탕? 탄산탕? 온천수 성분별 효능과 나에게 맞는 온천 고르기","sulfur spring, alkaline water, medicinal onsen, skin health, hot spring benefits"
pregnant_onsen_safety,"Safe Onsen Bathing During Pregnancy: Tips and Precautions","임산부 온천 여행 가이드: 안전한 입욕 방법과 주의사항","pregnancy onsen, prenatal travel, babymoon, safety tips, lukewarm bath"
onsen_medical_benefits,"The Science of Onsen: Therapeutic Benefits for Body and Mind","온천의 과학적 효능: 근육통부터 스트레스 해소까지 치유의 원리","balneotherapy, natural healing, muscle recovery, blood circulation, stress relief"
history_of_onsen_culture,"From Ancient Rituals to Modern Spas: A History of Japanese Onsen Culture","고대 제례부터 현대적 휴양까지: 일본 온천 문화의 역사적 변천사","onsen history, shinto ritual, samurai bath, Buddhist medicine, Japanese culture"
mixed_gender_bathing_konjoku,"Mixed-Gender Bathing (Konjoku): History and Etiquette for Modern Travelers","일본의 남녀 혼탕(콘요쿠) 문화: 역사와 현대 여행자를 위한 에티켓","mixed gender bath, konjoku, traditional Japan, bathing suit onsen, hidden gems"
onsen_after_gym,"Recovery at the Onsen: Why Hot Springs are Best for Muscle Recovery","운동 후 온천이 최고인 이유: 근육 회복과 피로 해소를 위한 팁","post-workout, muscle recovery, sports massage, hot and cold therapy, wellness"
seasonal_onsen_flowers,"Spring Onsens: Bathing Under the Cherry Blossoms","봄의 온천: 벚꽃 흩날리는 노천탕에서 만끽하는 봄꽃 여행","cherry blossom onsen, Sakura bath, spring travel, flower viewing, hanami"
autumn_leaf_onsen,"Koyo Onsens: Top 10 Hot Springs for Spectacular Autumn Foliage","단풍 온천: 울긋불긋 단풍 절경을 감상하며 즐기는 최고의 노천탕 10선","autumn foliage, Koyo onsen, fall colors, scenic bath, seasonal beauty"
summer_cool_onsen,"Summer Onsens: Refreshing Cold Springs and Mountain Retreats","여름에도 시원한 온천 여행: 고지대 온천과 냉천(冷泉) 가이드","summer onsen, cold spring, high altitude, cool breeze, mountain resort"
rainy_day_onsen,"The Beauty of Onsen in the Rain: Why Rainy Days are the Most Atmospheric","비 오는 날의 온천: 고즈넉한 빗소리와 함께 즐기는 운치 있는 휴식","rainy day travel, misty onsen, cozy ryokan, atmospheric bath, indoor onsen"
night_time_star_gazing,"Star-Gazing Onsens: Best Remote Hot Springs with Crystal Clear Night Skies","별 헤는 밤의 온천: 밤하늘 은하수를 감상할 수 있는 오지 온천 명소","stargazing, night sky onsen, remote travel, milky way, romantic night"
onsen_town_food_walk,"Gourmet Onsen Towns: Best Street Food to Eat in Your Yukata","온천 마을 먹거리 탐방: 유카타 입고 즐기는 길거리 음식 베스트","onsen food, street food, onsen tamago, manju, yukata walk"
sake_and_onsen,"The Perfect Pairing: Best Local Sakes to Enjoy Near Famous Onsens","온천과 사케의 만남: 유명 온천지별 꼭 마셔봐야 할 지역 사케","local sake, nihonshu, onsen pairing, craft beer, tasting guide"
